steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
129,1,127.30221407329361,129,127.30221407329361,128.0,128.0
173,2,169.67150566317918,44,42.36929158988555,171.0,128.0
209,3,205.02170106225168,36,35.3501953990725,206.0,128.0
238,4,232.6085382468005,29,27.58683718454884,234.0,128.0
333,5,326.9447146687556,95,94.33617642195497,328.0,128.0
363,6,356.6281936825256,30,29.68347901377011,357.0,128.0
421,7,413.650052071218,58,57.02185838869256,414.0,128.0
482,8,472.5369013799909,61,58.886849308772895,474.0,128.0
580,9,567.6286765911839,98,95.09177521119335,571.0,128.0
611,10,597.320782909532,31,29.69210631834803,601.0,128.0
717,12,701.0184452391221,51,50.13370226884104,705.0,128.0
808,14,790.9033986303175,36,35.07374977871432,794.0,128.0
904,17,882.506105718008,31,29.617106932911124,887.0,128.0
1062,20,1038.5353798920996,52,51.950116253759205,1042.0,128.0
1792,25,1759.6836344758883,223,221.91475458620783,1767.0,244.0
2632,30,2595.1072327260476,83,82.00600815111909,2602.0,442.0
6964,40,6921.094035748801,219,216.93636042795802,6925.0,1001.0
11540,50,11483.462975410574,217,216.79535809756518,11492.0,1001.0
15101,60,15028.384920147488,255,254.12665513408623,15043.0,1001.0
16759,70,16669.48799784675,75,72.06193123918564,16691.0,1001.0
19640,80,19535.161790290873,261,258.6957863573088,19562.0,1001.0
26124,90,26014.377700482644,662,657.6002577026092,26038.0,1001.0
30377,100,30250.3703425449,28,26.749136957499665,30283.0,1001.0
37304,120,37154.24213438578,265,263.6817659965618,37192.0,1001.0
46298,140,46124.66373749743,33,31.206186764943386,46170.0,1001.0
55110,170,54913.074703924896,72,71.39902185844404,54953.0,1001.0
65554,200,65334.92015095545,29,28.34689176542991,65369.0,1001.0
82699,250,82434.80688601994,80,78.318758275453,82469.0,1001.0
104256,300,103947.59904633698,510,506.1553930645734,103987.0,1001.0
133796,400,133393.5620219247,29,27.581252436441545,133440.0,1001.0
164577,500,164088.7938037469,182,179.88323733137233,164130.0,1001.0
201371,600,200767.86211581147,37,35.40786462042471,200839.0,1001.0
235184,700,234488.47475383696,30,29.402640917954137,234562.0,1001.0
268387,800,267615.7805491381,31,30.2462250159874,267676.0,1001.0
299020,900,298149.53609728283,271,268.94012017348103,298217.0,1001.0
329373,1000,328385.1892867438,164,164.12982688824889,328480.0,1001.0
