steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
10,1,-0.009000000000000001,10,-0.009000000000000001,1,0.0
20,2,-0.014000000000000005,10,-0.005,2,0.0
30,3,-0.023000000000000013,10,-0.009000000000000001,3,0.0
40,4,-0.03100000000000002,10,-0.008,4,0.0
50,5,-0.037000000000000026,10,-0.006,5,0.0
60,6,-0.04200000000000003,10,-0.005,6,0.0
70,7,-0.04500000000000003,10,-0.003,7,0.0
80,8,-0.048000000000000036,10,-0.003,8,0.0
90,9,-0.05200000000000004,10,-0.004,9,0.0
100,10,-0.060000000000000046,10,-0.008,10,0.0
120,12,-0.07000000000000005,10,-0.005,12,0.0
140,14,-0.08000000000000006,10,-0.005,14,0.0
170,17,-0.09500000000000007,10,-0.007,17,0.0
200,20,-0.11100000000000008,10,-0.005,20,0.0
250,25,-0.1410000000000001,10,-0.002,25,0.0
300,30,-0.17200000000000013,10,-0.004,30,0.0
400,40,-0.23000000000000018,10,-0.005,40,0.0
500,50,-0.2920000000000002,10,-0.004,50,0.0
600,60,-0.35100000000000026,10,-0.007,60,0.0
700,70,-0.4070000000000003,10,-0.006,70,0.0
800,80,0.5339999999999997,10,-0.005,79,1.0
900,90,1.4660000000000042,10,-0.008,88,2.0
1000,100,4.385999999999993,10,-0.008,95,5.0
1200,120,20.20399999999996,10,0.99,99,21.0
1400,140,37.012999999999934,10,-0.007,102,38.0
1700,170,65.71400000000055,10,0.99,103,67.0
