steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
12,1,-0.004166666666666667,12,-0.004166666666666667,1,0.0
24,2,-0.9377396308171487,12,-0.9335729641504821,2,0.0
36,3,-0.9435729641504822,12,-0.005833333333333334,3,0.0
48,4,-0.947739630817149,12,-0.004166666666666667,4,0.0
60,5,-0.9535729641504824,12,-0.005833333333333334,5,0.0
72,6,-0.9602396308171492,12,-0.006666666666666667,6,0.0
84,7,0.3709064041393719,12,1.3311460349565212,7,0.0
96,8,0.3659064041393718,12,-0.005,8,0.0
108,9,0.3609064041393717,12,-0.005,9,0.0
120,10,-0.8896905522214555,12,-1.2505969563608272,10,0.0
144,12,-1.1604137995326298,12,-0.2665565806445074,12,0.0
168,14,-3.4935410464739736,12,-0.30459477434294974,14,0.0
204,17,-5.021421356890559,12,-0.006666666666666667,17,0.0
240,20,-6.148807025238196,12,-0.007500000000000001,20,0.0
300,25,-6.13817076633229,12,-0.007500000000000001,24,0.0
360,30,-6.164004099665627,12,-0.006666666666666667,29,0.0
480,40,-7.038955475858738,12,-0.006666666666666667,37,0.0
600,50,-7.09728880919208,12,-0.007500000000000001,46,0.0
720,60,-5.754115094184749,12,1.3965070483406734,54,0.0
840,70,-7.095381638855393,12,-0.005833333333333334,63,0.0
960,80,-7.158714972188736,12,-0.005833333333333334,73,0.0
1080,90,-5.875500089741461,12,0.7780998449767409,82,0.0
1200,100,-7.504329959574283,12,-0.005,91,0.0
1440,120,-8.634772410917822,12,-0.006666666666666667,106,0.0
1680,140,-8.864412654736823,12,1.0097429173575578,123,0.0
2040,170,-10.311737360607548,12,-2.0933735412461845,149,0.0
2400,200,-11.445759682786264,12,-0.006666666666666667,177,0.0
3000,250,-2.1400016601424894,12,3.150027645910747,223,0.0
3600,300,-10.403974740231734,12,-1.7163165726303085,270,0.0
4800,400,-8.738556770653854,12,-0.0033333333333333335,361,0.0
6000,500,-17.203234828544193,12,-0.0467629049887803,449,0.0
7200,600,-18.892182204477955,12,-0.005833333333333334,532,0.0
8400,700,-15.154765155825622,12,-0.005833333333333334,621,0.0
9600,800,-21.683407798259136,12,0.04658070989384929,712,0.0
10800,900,-15.881424409446268,12,-0.006666666666666667,807,0.0
12000,1000,-19.787864661557403,12,-1.4623630509848067,899,0.0
14400,1200,-22.961254093887117,12,-0.0033333333333333335,1081,0.0
16800,1400,-23.999781142465228,12,-0.006666666666666667,1267,0.0
20400,1700,-22.87770577494342,12,-0.004166666666666667,1538,0.0
24000,2000,-6.673750706415632,12,1.2399846864815935,1808,0.0
30000,2500,-6.394000033762625,12,-0.006666666666666667,2268,0.0
36000,3000,4.683433079428546,12,0.579604020787611,2744,0.0
48000,4000,-15.847768541649438,12,-0.005,3660,0.0
60000,5000,313.7155886489046,12,-0.7853512224953527,3779,342.0
72000,6000,706.6243298628237,12,1.042865283748057,3780,735.0
84000,7000,1081.9931682060528,12,1.416080759222398,3782,1123.0
96000,8000,1439.7293467380678,12,-0.007500000000000001,3787,1513.0
108000,9000,1802.267860137748,12,2.589445738493359,3794,1893.0
120000,10000,2191.486425302755,12,1.8161862617903626,3797,2290.0
