steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
12,1,-0.0033333333333333335,12,-0.0033333333333333335,1,0
24,2,-0.006666666666666667,12,-0.0033333333333333335,2,0
36,3,-0.010833333333333334,12,-0.004166666666666667,3,0
48,4,-0.015000000000000001,12,-0.004166666666666667,4,0
60,5,-0.019999999999999993,12,-0.005,5,0
72,6,-0.024999999999999984,12,-0.005,6,0
84,7,-0.03166666666666664,12,-0.006666666666666667,7,0
96,8,-0.03666666666666663,12,-0.005,8,0
108,9,-0.04166666666666662,12,-0.005,9,0
120,10,-0.04666666666666661,12,-0.005,10,0
144,12,-0.05499999999999993,12,-0.005,12,0
168,14,-0.06499999999999993,12,-0.005,14,0
204,17,-0.0816666666666667,12,-0.005,17,0
240,20,-0.09583333333333346,12,-0.005833333333333334,20,0
300,25,-0.11750000000000027,12,-0.005833333333333334,25,0
360,30,-0.1416666666666668,12,-0.005,30,0
480,40,-0.19249999999999962,12,-0.0033333333333333335,40,0
600,50,-0.24416666666666575,12,-0.005,50,0
720,60,-0.29666666666666675,12,-0.005833333333333334,60,0
840,70,-0.34416666666666784,12,-0.0033333333333333335,70,0
960,80,-0.39500000000000235,12,-0.005,80,0
1080,90,-0.4400000000000034,12,-0.0025,90,0
1200,100,-0.49333333333333795,12,-0.005,100,0
1440,120,-0.5983333333333404,12,-0.005,120,0
1680,140,-0.7100000000000096,12,-0.005833333333333334,140,0
2040,170,-0.8441666666666794,12,-0.005833333333333334,170,0
2400,200,-0.9908333333333494,12,-0.005,200,0
3000,250,-1.2449999999999892,12,-0.004166666666666667,250,0
3600,300,-1.506666666666627,12,-0.0025,300,0
4800,400,-2.021666666666576,12,-0.004166666666666667,400,0
6000,500,-2.519999999999987,12,-0.006666666666666667,500,0
7200,600,-2.9983333333333952,12,-0.006666666666666667,600,0
8400,700,-3.499166666666807,12,-0.0033333333333333335,700,0
9600,800,-4.020000000000222,12,-0.005,800,0
10800,900,-4.532500000000302,12,-0.0033333333333333335,900,0
12000,1000,-5.038333333333714,12,-0.004166666666666667,1000,0
