steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
10,1,-0.003,10,-0.003,1,0.0
20,2,-0.008,10,-0.005,2,0.0
30,3,-0.012000000000000004,10,-0.004,3,0.0
40,4,-0.02000000000000001,10,-0.008,4,0.0
50,5,-0.024000000000000014,10,-0.004,5,0.0
60,6,-0.028000000000000018,10,-0.004,6,0.0
70,7,-0.03200000000000002,10,-0.004,7,0.0
80,8,-0.036000000000000025,10,-0.004,8,0.0
90,9,-0.03900000000000003,10,-0.003,9,0.0
100,10,-0.04500000000000003,10,-0.006,10,0.0
120,12,-0.05200000000000004,10,-0.004,12,0.0
140,14,-0.059000000000000045,10,-0.006,14,0.0
170,17,-0.08100000000000006,10,-0.007,17,0.0
200,20,-0.09500000000000007,10,-0.004,20,0.0
250,25,-0.11900000000000009,10,-0.006,25,0.0
300,30,-0.1480000000000001,10,-0.007,30,0.0
400,40,-0.19800000000000015,10,-0.003,40,0.0
500,50,-0.25100000000000017,10,-0.007,50,0.0
600,60,-0.32500000000000023,10,-0.007,60,0.0
700,70,-0.3920000000000003,10,-0.006,70,0.0
800,80,-0.45900000000000035,10,-0.007,80,0.0
900,90,-0.5240000000000004,10,-0.005,90,0.0
1000,100,0.3989999999999996,10,0.99,99,1.0
1200,120,8.250999999999983,10,0.99,111,9.0
1400,140,26.054999999999914,10,0.99,113,27.0
1700,170,51.764000000000344,10,0.99,117,53.0
2000,200,75.47700000000002,10,0.99,123,77.0
2500,250,116.99899999999774,10,0.99,131,119.0
3000,300,162.51299999999543,10,0.99,135,165.0
4000,400,253.53299999999075,10,0.99,143,257.0
5000,500,342.56600000001276,10,0.99,153,347.0
6000,600,432.5910000000358,10,0.99,162,438.0
7000,700,519.6280000000586,10,0.99,174,526.0
8000,800,607.6600000000815,10,0.99,185,615.0
9000,900,696.7010000001042,10,0.99,195,705.0
10000,1000,793.7080000001276,10,0.99,197,803.0
12000,1200,972.7840000001731,10,0.99,216,984.0
14000,1400,1143.8580000002187,10,0.99,243,1157.0
17000,1700,1407.969000000287,10,0.99,276,1424.0
20000,2000,1673.0590000003558,10,0.99,308,1692.0
