steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
34,1,33.0022892553961,34,33.0022892553961,33.0,33.0
67,2,65.59880704021836,33,32.59651778482227,65.0,33.0
96,3,92.92991449968187,29,27.331107459463524,93.0,33.0
127,4,123.42433191243653,31,30.494417412754654,123.0,33.0
160,5,154.79287101345767,33,31.368539101021202,155.0,33.0
188,6,182.31862178375766,28,27.52575077029997,182.0,33.0
219,7,212.02975475286294,31,29.71113296910519,212.0,33.0
251,8,243.51920681999408,32,31.489452067131168,243.0,33.0
280,9,272.288802121752,29,28.769595301757743,271.0,33.0
312,10,302.98630282767806,32,30.69750070592603,302.0,33.0
376,12,365.0786847385557,32,30.433545663701565,364.0,33.0
439,14,425.75247352930114,31,29.734019156245996,425.0,33.0
538,17,521.2786626792372,35,33.80884681197594,521.0,34.0
760,20,742.92599167557,109,108.41668164508742,740.0,108.0
1095,25,1076.815742370327,35,34.29547174189953,1070.0,108.0
1611,30,1584.1162118714185,87,85.33798326382862,1581.0,192.0
2869,40,2827.6780330633933,228,226.5299942230629,2829.0,227.0
6887,50,6824.766413014308,484,480.0301723787984,6837.0,591.0
10946,60,10885.079844841408,370,371.8671099826005,10886.0,591.0
16200,70,16113.14291682924,1001,998.9887765438742,16131.0,1001.0
22483,80,22372.63647165554,910,908.661838846376,22407.0,1001.0
29185,90,29073.299818269938,660,658.043560847476,29102.0,1001.0
34684,100,34578.78708058176,412,413.63749053645313,34594.0,1001.0
52591,120,52486.62577558976,1001,1000.6963117096445,52495.0,1001.0
64543,140,64430.89494700482,437,436.16778560224896,64432.0,1001.0
83883,170,83772.71789739329,300,298.64148291362454,83753.0,1001.0
99502,200,99355.41821524284,1001,999.045667223893,99347.0,1001.0
128236,250,128029.5805499272,237,237.5085618079373,128048.0,1001.0
157898,300,157655.0694237883,1001,1005.3543916845372,157680.0,1001.0
216018,400,215676.37344295264,514,513.1216928587877,215739.0,1001.0
283666,500,283295.5789906583,1001,998.1170456951658,283321.0,1001.0
362116,600,361701.46117511345,1001,1003.8270014325867,361735.0,1001.0
411244,700,410749.43813439895,30,29.47566863281869,410804.0,1001.0
431774,800,431176.39196192776,439,438.4486294334357,431234.0,1001.0
500793,900,500132.624248462,1001,999.5118562507321,500193.0,1001.0
588433,1000,587780.0087970129,1001,1002.9759670491153,587794.0,1001.0
