steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
12,1,-0.005833333333333334,12,-0.005833333333333334,1,0
24,2,-0.0125,12,-0.006666666666666667,2,0
36,3,-0.016666666666666666,12,-0.004166666666666667,3,0
48,4,-0.02333333333333332,12,-0.006666666666666667,4,0
60,5,-0.029999999999999975,12,-0.006666666666666667,5,0
72,6,-0.03666666666666663,12,-0.006666666666666667,6,0
84,7,-0.043333333333333286,12,-0.006666666666666667,7,0
96,8,-0.04916666666666661,12,-0.005833333333333334,8,0
108,9,-0.05583333333333326,12,-0.006666666666666667,9,0
120,10,-0.05916666666666659,12,-0.0033333333333333335,10,0
144,12,-0.06583333333333327,12,-0.004166666666666667,12,0
168,14,-0.07416666666666666,12,-0.005,14,0
204,17,-0.08750000000000008,12,-0.004166666666666667,17,0
240,20,-0.10000000000000016,12,-0.0033333333333333335,20,0
300,25,-0.12333333333333364,12,-0.0033333333333333335,25,0
360,30,-0.14666666666666675,12,-0.004166666666666667,30,0
480,40,-0.18749999999999967,12,-0.005,40,0
600,50,-0.22333333333333263,12,-0.0033333333333333335,50,0
720,60,-0.2516666666666657,12,-0.0025,60,0
840,70,-0.2975000000000001,12,-0.006666666666666667,70,0
960,80,-0.3291666666666675,12,-0.0016666666666666668,80,0
1080,90,-0.35083333333333466,12,-0.0008333333333333334,90,0
1200,100,-0.36333333333333495,12,-0.0016666666666666668,100,0
1440,120,-0.4025000000000025,12,-0.004166666666666667,120,0
1680,140,-0.4466666666666702,12,-0.0008333333333333334,140,0
2040,170,-0.49166666666667125,12,-0.0008333333333333334,170,0
2400,200,-0.5600000000000062,12,-0.004166666666666667,200,0
3000,250,-0.6066666666666739,12,-0.0008333333333333334,250,0
3600,300,-0.6608333333333418,12,-0.0025,300,0
4800,400,-0.7725000000000111,12,-0.0016666666666666668,400,0
6000,500,-0.8233333333333456,12,-0.0016666666666666668,500,0
7200,600,-0.8741666666666801,12,0.0,600,0
8400,700,-0.9225000000000145,12,0.0,700,0
9600,800,-0.9758333333333491,12,0.0,800,0
10800,900,-1.0258333333333467,12,0.0,900,0
12000,1000,-1.075000000000008,12,0.0,1000,0
14400,1200,-1.161666666666665,12,0.0,1200,0
16800,1400,-1.2566666666666546,12,-0.0008333333333333334,1400,0
20400,1700,-1.4174999999999702,12,0.0,1700,0
24000,2000,-1.5533333333332886,12,-0.0008333333333333334,2000,0
30000,2500,-1.8208333333332591,12,-0.0008333333333333334,2500,0
36000,3000,-2.0316666666665775,12,0.0,3000,0
48000,4000,-2.489166666666649,12,0.0,4000,0
60000,5000,-2.905833333333381,12,0.0,5000,0
72000,6000,-3.355833333333451,12,-0.0016666666666666668,6000,0
84000,7000,-3.7625000000001814,12,-0.0008333333333333334,7000,0
96000,8000,-4.200833333333583,12,0.0,8000,0
108000,9000,-4.60916666666698,12,0.0,9000,0
120000,10000,-5.070000000000386,12,-0.0016666666666666668,10000,0
