steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
10,1,2.7575373112669537,10,2.7575373112669537,1,0.0
20,2,2.74532575777444,10,-0.012211553492514335,2,0.0
30,3,2.7413257577744403,10,-0.004,3,0.0
40,4,1.4619140424799637,10,-1.279411715294477,4,0.0
50,5,2.5697322673053025,10,1.1078182248253383,5,0.0
60,6,2.565732267305303,10,-0.004,6,0.0
70,7,2.5617322673053033,10,-0.004,7,0.0
80,8,2.557732267305304,10,-0.004,8,0.0
90,9,2.5537322673053042,10,-0.004,9,0.0
100,10,2.8993204402541095,10,0.34558817294880484,10,0.0
120,12,3.1356650662676233,10,0.24134462601351261,12,0.0
140,14,3.1236650662676246,10,-0.006,13,0.0
170,17,3.883398065795536,10,1.0125525584632107,16,0.0
200,20,2.4645239612364263,10,-1.748956601737763,19,0.0
250,25,3.0368709225893413,10,1.9747106469269131,24,0.0
300,30,-0.4225179960402765,10,-0.005,29,0.0
400,40,-2.273037892255763,10,-0.004,39,0.0
500,50,-4.001441412309958,10,-0.005,49,0.0
600,60,-4.056441412309977,10,-0.006,58,0.0
700,70,-4.1094414123099945,10,-0.005,68,0.0
800,80,-4.1724414123100155,10,-0.004,77,0.0
900,90,-4.73753708061949,10,-0.5305634732169927,86,0.0
1000,100,-5.099572944138871,10,-0.007,94,0.0
1200,120,-5.21557294413891,10,-0.007,110,0.0
1400,140,-5.33557294413895,10,-0.008,129,0.0
1700,170,-5.508572944139008,10,-0.005,157,0.0
2000,200,-2.880764491368806,10,0.38559979698019475,187,0.0
2500,250,-5.982737343042533,10,-0.004,234,0.0
3000,300,-7.701960171017364,10,-0.004,282,0.0
4000,400,-9.005452617727666,10,-0.003,376,0.0
5000,500,-10.518860510293116,10,-0.006,470,0.0
6000,600,-14.380849690958236,10,-0.006,566,0.0
7000,700,-16.34839784772782,10,-0.005,663,0.0
8000,800,-17.26934549870656,10,-0.005,757,1.0
9000,900,-17.628119136827053,10,-0.004,855,1.0
10000,1000,-17.151398095271873,10,-0.005,943,2.0
12000,1200,28.151713195309448,10,-0.006,995,55.0
14000,1400,78.43683758494336,10,-0.007,1021,115.0
17000,1700,138.57682943150846,10,-0.008,1072,195.0
20000,2000,231.04020574064756,10,-0.005,1115,291.0
25000,2500,361.4808322207055,10,-0.010000000000000002,1181,440.0
30000,3000,518.298233903613,10,0.37631171120630363,1258,589.0
40000,4000,797.2262158110889,10,1.6572272002095079,1396,888.0
50000,5000,1118.369707059219,10,-1.1380522087715488,1537,1179.0
60000,6000,1393.5984309924763,10,0.3213646128753799,1680,1476.0
70000,7000,1694.4287071971687,10,-0.009000000000000001,1848,1753.0
80000,8000,1962.7825175739888,10,-0.008,1984,2039.0
90000,9000,2243.0167274439145,10,-0.006,2130,2325.0
100000,10000,2560.598034419644,10,2.976639321646132,2269,2641.0
