steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
31,1,30.057753720117994,31,30.057753720117994,30.0,30.0
64,2,61.25864266069363,33,31.20088894057563,62.0,32.0
96,3,92.73723436723706,32,31.47859170654343,93.0,32.0
127,4,123.25289175261918,31,30.515657385382095,123.0,32.0
158,5,153.3915533935091,31,30.138661640889914,153.0,32.0
189,6,183.10412591675376,31,29.7125725232447,183.0,32.0
220,7,212.0830870735407,31,28.97896115678696,213.0,32.0
253,8,243.71088430171974,33,31.6277972281792,245.0,32.0
284,9,272.8080251611314,31,29.09714085941156,275.0,32.0
314,10,301.3561983171942,30,28.548173156062674,304.0,32.0
376,12,360.8773865308456,31,29.458642649519522,364.0,32.0
435,14,418.1597265815578,29,28.146215227808884,421.0,32.0
524,17,503.2621845444753,30,28.474370654594207,507.0,32.0
621,20,595.0000659522003,34,32.22342211784654,601.0,33.0
769,25,737.1342373710847,31,30.322715825721428,744.0,33.0
914,30,875.2014320508338,31,29.498052658737485,884.0,33.0
1221,40,1172.313384675629,33,31.088087445350073,1181.0,33.0
1538,50,1477.4645213714457,31,30.74625269622811,1488.0,34.0
1844,60,1773.5399578054555,29,27.741149239828086,1784.0,34.0
2146,70,2064.3911489240572,30,29.28127148080355,2076.0,34.0
2458,80,2364.4545538071025,32,29.761441322086803,2378.0,34.0
2766,90,2664.641151054269,30,28.800054127034368,2676.0,34.0
3081,100,2965.267259009862,32,30.368152168027674,2981.0,34.0
3736,120,3596.434765866155,34,32.110321237926456,3616.0,34.0
4382,140,4220.383984024757,31,30.04238916413378,4242.0,34.0
5365,170,5170.931759336021,34,32.4113920827149,5195.0,35.0
6435,200,6205.8427635171,38,35.69021866209662,6235.0,38.0
8230,250,7953.381021986711,42,41.17688130998284,7980.0,41.0
10191,300,9860.74434041578,45,43.90182156695377,9891.0,45.0
13709,400,13271.999233824374,33,32.91103861728118,13309.0,45.0
17373,500,16834.979571884538,44,44.07557062197401,16873.0,45.0
25811,600,25181.60928951229,69,66.39650256403331,25211.0,225.0
30424,700,29695.51601076814,29,28.01713281426238,29724.0,225.0
33451,800,32634.81526903262,30,29.56026536452491,32651.0,225.0
36478,900,35574.764207523796,30,28.277977844028925,35578.0,225.0
39521,1000,38515.64671030433,31,29.86346900747304,38521.0,225.0
