steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
10,1,-0.005,10,-0.005,1,0.0
20,2,-0.011000000000000003,10,-0.006,2,0.0
30,3,-0.016000000000000007,10,-0.005,3,0.0
40,4,-0.02100000000000001,10,-0.005,4,0.0
50,5,-0.026000000000000016,10,-0.005,5,0.0
60,6,-0.03100000000000002,10,-0.005,6,0.0
70,7,-0.036000000000000025,10,-0.005,7,0.0
80,8,-0.04100000000000003,10,-0.005,8,0.0
90,9,-0.046000000000000034,10,-0.005,9,0.0
100,10,-0.05100000000000004,10,-0.005,10,0.0
120,12,-0.06100000000000005,10,-0.005,12,0.0
140,14,-0.07400000000000005,10,-0.006,14,0.0
170,17,-0.09100000000000007,10,-0.008,17,0.0
200,20,-0.10800000000000008,10,-0.005,20,0.0
250,25,-0.1370000000000001,10,-0.007,25,0.0
300,30,-0.1560000000000001,10,-0.003,30,0.0
400,40,-0.21100000000000016,10,-0.008,40,0.0
500,50,-0.2860000000000002,10,-0.006,50,0.0
600,60,-0.34200000000000025,10,-0.006,60,0.0
700,70,-0.3820000000000003,10,-0.002,70,0.0
800,80,-0.4290000000000003,10,-0.001,80,0.0
900,90,-0.46400000000000036,10,-0.003,90,0.0
1000,100,-0.5090000000000003,10,-0.004,100,0.0
1200,120,-0.6000000000000004,10,-0.004,120,0.0
1400,140,-0.6820000000000005,10,-0.004,140,0.0
1700,170,-0.8250000000000006,10,-0.005,170,0.0
2000,200,-0.9670000000000007,10,-0.006,200,0.0
2500,250,-1.2379999999999745,10,-0.006,250,0.0
3000,300,-1.4799999999999478,10,-0.005,300,0.0
4000,400,-1.9639999999998945,10,-0.006,400,0.0
5000,500,-2.397999999999847,10,-0.005,500,0.0
6000,600,-2.841999999999798,10,-0.006,600,0.0
7000,700,-3.2939999999997482,10,-0.004,700,0.0
8000,800,-3.739999999999699,10,-0.005,800,0.0
9000,900,-4.182999999999732,10,-0.006,900,0.0
10000,1000,-4.650999999999888,10,-0.004,1000,0.0
12000,1200,-5.5420000000001854,10,-0.003,1200,0.0
14000,1400,-6.426000000000481,10,-0.002,1400,0.0
17000,1700,-7.816000000000945,10,-0.005,1700,0.0
20000,2000,-9.250000000000313,10,-0.004,2000,0.0
25000,2500,-11.665999999998974,10,-0.005,2500,0.0
30000,3000,114.05699999999948,10,-0.007,2871,129.0
40000,4000,886.7920000001701,10,0.99,3089,911.0
50000,5000,1651.535000000389,10,0.99,3315,1685.0
60000,6000,2418.297999999592,10,0.99,3539,2461.0
70000,7000,3159.1819999977347,10,-0.009000000000000001,3789,3211.0
80000,8000,3923.9229999958484,10,0.99,4015,3985.0
90000,9000,4684.689999993968,10,0.99,4245,4755.0
100000,10000,5463.441999992084,10,0.99,4457,5543.0
