steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
12,1,-0.005833333333333334,12,-0.005833333333333334,0,0.0
24,2,-0.013333333333333334,12,-0.007500000000000001,0,0.0
36,3,-0.019999999999999993,12,-0.006666666666666667,0,0.0
48,4,-0.02749999999999998,12,-0.007500000000000001,0,0.0
60,5,-0.03416666666666664,12,-0.006666666666666667,1,0.0
72,6,-0.04083333333333329,12,-0.006666666666666667,1,0.0
84,7,-0.047499999999999945,12,-0.006666666666666667,1,0.0
96,8,-0.0541666666666666,12,-0.006666666666666667,2,0.0
108,9,-0.06083333333333325,12,-0.006666666666666667,3,0.0
120,10,-0.06749999999999995,12,-0.006666666666666667,4,0.0
144,12,-0.07916666666666669,12,-0.005833333333333334,6,0.0
168,14,-0.09333333333333345,12,-0.007500000000000001,8,0.0
204,17,-0.1158333333333336,12,-0.006666666666666667,9,0.0
240,20,-2.035168199465118,12,-0.7352098236547836,11,0.0
300,25,-1.7553788504950953,12,-0.005,14,0.0
360,30,-0.4277144595821948,12,0.9381336018725862,19,0.0
480,40,2.7571241972828346,12,1.1215851886821595,28,0.0
600,50,-0.48491548541069074,12,-0.3319848555278729,36,0.0
720,60,-3.559838525025354,12,-0.7700725010650629,45,0.0
840,70,-7.3479370695325485,12,-1.4773129252730086,53,0.0
960,80,-6.01947285006412,12,-0.0025,62,0.0
1080,90,-6.598794343360593,12,-0.538488159963133,71,0.0
1200,100,-6.653794343360602,12,-0.005833333333333334,81,0.0
1440,120,-4.97214736205431,12,-0.007500000000000001,100,0.0
1680,140,-5.07798069538766,12,-0.005,120,0.0
2040,170,-5.224647362054349,12,-0.004166666666666667,148,0.0
2400,200,-9.13896967615014,12,-0.006666666666666667,176,0.0
3000,250,-10.359764141487478,12,-0.005833333333333334,221,0.0
3600,300,-10.63893080815389,12,-0.008333333333333333,267,0.0
4800,400,-11.206430808153375,12,-0.005,358,0.0
6000,500,-12.472916428317257,12,-0.005833333333333334,455,0.0
7200,600,-13.229142805720052,12,-0.004166666666666667,540,0.0
8400,700,-14.087360397162074,12,-0.005833333333333334,629,0.0
9600,800,-14.104591456579767,12,-0.005,714,0.0
10800,900,-14.282789474944481,12,-0.006666666666666667,807,0.0
12000,1000,-14.804456141610673,12,-0.006666666666666667,895,0.0
14400,1200,-17.36688237594588,12,-0.8829698060313937,1082,0.0
16800,1400,-17.380363631127043,12,-0.07546001602076641,1272,0.0
20400,1700,-24.53712937865606,12,-0.0025,1544,0.0
24000,2000,-24.79676322197626,12,-0.0033333333333333335,1811,0.0
30000,2500,-26.342065310690405,12,-0.005,2274,0.0
36000,3000,-43.710831668999816,12,-0.005,2744,0.0
48000,4000,-42.134789319116734,12,-0.006666666666666667,3636,11.0
60000,5000,204.6591499024007,12,-0.01,3827,289.0
72000,6000,499.92804000031305,12,2.8637291945398906,3995,581.0
84000,7000,762.5400270450178,12,-0.5521647002812025,4182,858.0
96000,8000,1077.3667765835337,12,1.09101279402982,4353,1144.0
108000,9000,1358.3062898399564,12,-0.005833333333333334,4548,1445.0
120000,10000,1650.681097839554,12,1.7779252408944581,4733,1728.0
