steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
51,1,49.44312588224404,51,49.44312588224404,50.0,50.0
163,2,161.5386440132287,112,112.09551813098462,161.0,111.0
217,3,214.48622879545044,54,52.9475847822217,214.0,111.0
267,4,264.9064874970914,50,50.420258701640954,263.0,111.0
329,5,325.96170009962543,62,61.05521260253402,324.0,111.0
376,6,371.97937407453367,47,46.01767397490801,370.0,111.0
441,7,436.517195951928,65,64.5378218773941,434.0,111.0
573,8,566.5587409453481,132,130.04154499341956,565.0,131.0
637,9,630.7578466096156,64,64.1991056642676,628.0,131.0
736,10,726.8857968401568,99,96.12795023054142,726.0,131.0
892,12,880.9607889392577,87,85.10926211220566,880.0,131.0
1073,14,1062.424802518204,89,88.59308871504588,1059.0,131.0
1258,17,1243.9242114579893,59,56.21218125735014,1241.0,131.0
1491,20,1474.2118349809455,67,66.57276745062775,1471.0,131.0
1851,25,1830.2373681077645,75,74.46041733764095,1826.0,131.0
2255,30,2228.744119151781,49,48.18391210977243,2225.0,200.0
2838,40,2800.7958896739324,82,81.77597833451135,2798.0,200.0
3378,50,3333.229632459321,75,73.39922660267007,3328.0,200.0
3852,60,3796.703295647964,45,43.6571313056899,3792.0,200.0
4303,70,4237.299513234011,50,49.56931600191209,4233.0,200.0
4726,80,4647.90474608837,38,36.647339593255346,4646.0,200.0
5070,90,4980.566468781362,32,31.061724535189153,4980.0,200.0
5438,100,5337.697657289538,29,29.071705004002588,5338.0,200.0
6178,120,6056.854600911175,43,42.504493046504905,6058.0,200.0
6876,140,6734.35438208026,34,32.50736662961239,6736.0,200.0
7865,170,7692.770692266918,32,31.52074728274556,7695.0,200.0
8881,200,8682.580618914193,34,32.11213055186467,8681.0,200.0
10504,250,10258.467093177811,32,30.77258360261237,10254.0,200.0
12087,300,11787.738573606744,30,29.155479638211325,11787.0,200.0
15219,400,14816.128627026677,33,31.771203880587727,14819.0,200.0
18331,500,17818.403201491663,32,29.79820138229441,17831.0,200.0
21437,600,20824.978499278837,30,29.04316421907936,20837.0,200.0
24530,700,23818.36684540312,33,31.787052949133738,23830.0,200.0
27614,800,26801.2604299115,31,29.797033519252835,26814.0,200.0
30696,900,29793.784613977172,35,34.05642097604948,29796.0,200.0
33801,1000,32800.16644009291,32,30.480842938825482,32801.0,200.0
