steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
10,1,-0.005,10,-0.005,1,0.0
20,2,-0.010000000000000002,10,-0.005,2,0.0
30,3,-0.012000000000000004,10,-0.002,3,0.0
40,4,-0.01800000000000001,10,-0.006,4,0.0
50,5,-0.02100000000000001,10,-0.003,5,0.0
60,6,-0.024000000000000014,10,-0.003,6,0.0
70,7,-0.03000000000000002,10,-0.006,7,0.0
80,8,-0.03400000000000002,10,-0.004,8,0.0
90,9,-0.03900000000000003,10,-0.005,9,0.0
100,10,-0.04400000000000003,10,-0.005,10,0.0
120,12,-0.05200000000000004,10,-0.004,12,0.0
140,14,-0.06400000000000004,10,-0.005,14,0.0
170,17,-0.08200000000000006,10,-0.006,17,0.0
200,20,-0.09600000000000007,10,-0.005,20,0.0
250,25,-0.11800000000000009,10,-0.004,25,0.0
300,30,-0.1420000000000001,10,-0.007,30,0.0
400,40,-0.19300000000000014,10,-0.005,40,0.0
500,50,-0.2420000000000002,10,-0.003,50,0.0
600,60,-0.2900000000000002,10,-0.006,60,0.0
700,70,-0.33800000000000024,10,-0.006,70,0.0
800,80,-0.3870000000000003,10,-0.005,80,0.0
900,90,-0.43700000000000033,10,-0.008,90,0.0
1000,100,-0.4870000000000004,10,-0.005,100,0.0
1200,120,-0.5810000000000004,10,-0.005,120,0.0
1400,140,-0.6720000000000005,10,-0.003,140,0.0
1700,170,-0.8320000000000006,10,-0.005,170,0.0
2000,200,-0.9830000000000008,10,-0.004,200,0.0
2500,250,-1.2449999999999737,10,-0.007,250,0.0
3000,300,-1.5099999999999445,10,-0.005,300,0.0
4000,400,-2.00599999999989,10,-0.006,400,0.0
5000,500,-2.4839999999998374,10,-0.003,500,0.0
6000,600,-2.994999999999781,10,-0.005,600,0.0
7000,700,-3.496999999999726,10,-0.005,700,0.0
8000,800,-3.975999999999673,10,-0.005,800,0.0
9000,900,-4.462999999999825,10,-0.002,900,0.0
10000,1000,-3.962999999999963,10,-0.008,999,1.0
12000,1200,-3.92000000000026,10,-0.003,1198,2.0
14000,1400,-4.937000000000564,10,-0.006,1398,2.0
17000,1700,-6.475000000001078,10,-0.004,1698,2.0
20000,2000,-7.958000000001573,10,-0.008,1998,2.0
25000,2500,-9.46500000000022,10,-0.006,2497,3.0
30000,3000,-10.91799999999886,10,-0.003,2996,4.0
40000,4000,-10.09699999999599,10,-0.005,3990,10.0
50000,5000,32.93700000000314,10,-0.009000000000000001,4941,59.0
60000,6000,281.581999999995,10,0.99,5685,315.0
70000,7000,705.6680000001821,10,-0.009000000000000001,6253,747.0
80000,8000,1230.3470000003788,10,0.99,6720,1280.0
90000,9000,1794.009000000576,10,0.99,7148,1852.0
100000,10000,2402.5189999996132,10,0.99,7531,2469.0
