steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
10,1,-0.005,10,-0.005,1,0.0
20,2,-0.011000000000000003,10,-0.006,2,0.0
30,3,-0.01800000000000001,10,-0.007,3,0.0
40,4,-0.025000000000000015,10,-0.007,4,0.0
50,5,-0.03300000000000002,10,-0.008,5,0.0
60,6,-0.04000000000000003,10,-0.007,6,0.0
70,7,-0.18378755137661537,10,-0.14378755137661534,7,0.0
80,8,-0.18878755137661538,10,-0.005,8,0.0
90,9,-0.19478755137661538,10,-0.006,9,0.0
100,10,-0.45422268964429613,10,-0.2594351382676808,10,0.0
120,12,-0.46722268964429614,10,-0.006,12,0.0
140,14,-0.8953491844607768,10,0.32531921628906696,14,0.0
170,17,-2.528205277343338,10,-0.006,16,0.0
200,20,-3.5844911221357822,10,-0.004,18,0.0
250,25,-3.4821625595004138,10,-0.007,23,0.0
300,30,-1.4744223912245202,10,-0.005,28,0.0
400,40,-3.6785280673817202,10,-0.005,38,0.0
500,50,-2.4942826850396234,10,-0.7144123427121862,46,0.0
600,60,-4.508006873336403,10,-0.006,56,0.0
700,70,-6.916469646280908,10,-0.004,64,0.0
800,80,-6.742786943620905,10,-0.004,74,0.0
900,90,-5.129622617361127,10,-0.004,84,0.0
1000,100,-5.697579070555911,10,-0.006,92,0.0
1200,120,-2.8069691699968278,10,-0.004,110,0.0
1400,140,0.7642601940085334,10,1.2730117002729826,129,0.0
1700,170,-5.16050476327883,10,-0.006,158,0.0
2000,200,-5.42391449461709,10,-1.6152751954537563,184,0.0
2500,250,-5.75153916072167,10,-0.006,232,0.0
3000,300,-2.3312668018229736,10,-0.6730925163428391,274,0.0
4000,400,-3.281630443251875,10,-0.006,363,0.0
5000,500,5.545739523435433,10,-0.005337357736264894,458,0.0
6000,600,6.235390201947974,10,-0.007,551,0.0
7000,700,-6.465075083467341,10,-0.007,638,0.0
8000,800,-6.365569575131302,10,-0.007,724,0.0
9000,900,-6.528223962603084,10,-0.005,813,0.0
10000,1000,-10.795335714114893,10,-0.008,904,0.0
12000,1200,-9.694759111330495,10,-0.005,1084,0.0
14000,1400,-8.128877988916313,10,-0.005,1268,0.0
17000,1700,-11.852168953033303,10,-0.04330057946835702,1545,0.0
20000,2000,-17.912052373765277,10,-0.009000000000000001,1811,0.0
25000,2500,2.044851333893147,10,-0.006,2265,0.0
30000,3000,8.045324379922125,10,-0.006,2707,2.0
40000,4000,-3.8251281301053845,10,-1.3792994179842868,3533,3.0
50000,5000,-12.9026819897713,10,-0.008,4188,16.0
60000,6000,0.43046871529399583,10,-0.007,4782,31.0
70000,7000,113.75101128447096,10,-0.1296631743318563,5298,104.0
80000,8000,209.20286959875153,10,-0.009000000000000001,5740,204.0
90000,9000,324.19228121105334,10,2.330481252588654,6114,360.0
100000,10000,520.8543925664105,10,-0.008,6442,541.0
