steps,episode,total_return,episode_len,episode_return,total_upright,best_episode_reward,mean_greedy_rewards,std_greedy_rewards
208.0000,0.0000,-13.0000,208.0000,-13.0000,0.0000,-13.0000,0.0000,0.0000
1209.0000,1.0000,-34.8000,1001.0000,-21.8000,0.0000,-13.0000,0.0000,0.0000
1292.0000,2.0000,-43.1000,83.0000,-8.3000,0.0000,-8.3000,0.0000,0.0000
1681.0000,3.0000,-48.8000,389.0000,-5.7000,0.0000,-5.7000,0.0000,0.0000
1775.0000,4.0000,-57.0000,94.0000,-8.2000,0.0000,-5.7000,0.0000,0.0000
1861.0000,5.0000,-64.9000,86.0000,-7.9000,0.0000,-5.7000,0.0000,0.0000
2862.0000,6.0000,-81.4000,1001.0000,-16.5000,0.0000,-5.7000,0.0000,0.0000
2946.0000,7.0000,-89.2000,84.0000,-7.8000,0.0000,-5.7000,0.0000,0.0000
3028.0000,8.0000,-97.4000,82.0000,-8.2000,0.0000,-5.7000,0.0000,0.0000
3292.0000,9.0000,-123.1000,264.0000,-25.7000,0.0000,-5.7000,0.0000,0.0000
3588.0000,10.0000,-152.0000,296.0000,-28.9000,0.0000,-5.7000,0.0000,0.0000
3696.0000,11.0000,-158.3000,108.0000,-6.3000,0.0000,-5.7000,0.0000,0.0000
3933.0000,12.0000,-182.0000,237.0000,-23.7000,0.0000,-5.7000,0.0000,0.0000
4934.0000,13.0000,-202.7000,1001.0000,-20.7000,0.0000,-5.7000,0.0000,0.0000
5035.0000,14.0000,-208.0000,101.0000,-5.3000,0.0000,-5.3000,0.0000,0.0000
5415.0000,15.0000,-224.6000,380.0000,-16.6000,15.3000,-5.3000,0.0000,0.0000
5680.0000,16.0000,-249.9000,265.0000,-25.3000,0.0000,-5.3000,0.0000,0.0000
6390.0000,17.0000,-250.2000,710.0000,-0.3000,33.5000,-0.3000,0.0000,0.0000
6608.0000,18.0000,-267.4000,218.0000,-17.2000,0.0000,-0.3000,0.0000,0.0000
6703.0000,19.0000,-276.9000,95.0000,-9.5000,0.0000,-0.3000,0.0000,0.0000
6837.0000,20.0000,-289.0000,134.0000,-12.1000,0.0000,-0.3000,0.0000,0.0000
6936.0000,21.0000,-298.7000,99.0000,-9.7000,0.0000,-0.3000,0.0000,0.0000
7145.0000,22.0000,-318.3000,209.0000,-19.6000,0.0000,-0.3000,0.0000,0.0000
7238.0000,23.0000,-327.4000,93.0000,-9.1000,0.0000,-0.3000,0.0000,0.0000
7453.0000,24.0000,-347.0000,215.0000,-19.6000,0.0000,-0.3000,0.0000,0.0000
7610.0000,25.0000,-353.4000,157.0000,-6.4000,0.0000,-0.3000,0.0000,0.0000
7710.0000,26.0000,-361.8000,100.0000,-8.4000,0.0000,-0.3000,0.0000,0.0000
8322.0000,27.0000,-391.1000,612.0000,-29.3000,0.0000,-0.3000,0.0000,0.0000
8624.0000,28.0000,-411.0000,302.0000,-19.9000,0.0000,-0.3000,0.0000,0.0000
8753.0000,29.0000,-421.6000,129.0000,-10.6000,0.0000,-0.3000,0.0000,0.0000
8863.0000,30.0000,-432.0000,110.0000,-10.4000,0.0000,-0.3000,0.0000,0.0000
8984.0000,31.0000,-439.6000,121.0000,-7.6000,0.0000,-0.3000,0.0000,0.0000
9148.0000,32.0000,-450.8000,164.0000,-11.2000,0.0000,-0.3000,0.0000,0.0000
9509.0000,33.0000,-479.2000,361.0000,-28.4000,0.0000,-0.3000,0.0000,0.0000
9608.0000,34.0000,-489.1000,99.0000,-9.9000,0.0000,-0.3000,0.0000,0.0000
9966.0000,35.0000,-508.6000,358.0000,-19.5000,0.0000,-0.3000,0.0000,0.0000
10305.0000,36.0000,-507.1000,339.0000,1.5000,23.7000,1.5000,0.0000,0.0000
10401.0000,37.0000,-515.0000,96.0000,-7.9000,0.0000,1.5000,0.0000,0.0000
10619.0000,38.0000,-536.8000,218.0000,-21.8000,0.0000,1.5000,0.0000,0.0000
10987.0000,39.0000,-548.1000,368.0000,-11.3000,14.5000,1.5000,0.0000,0.0000
11234.0000,40.0000,-557.1000,247.0000,-9.0000,0.0000,1.5000,0.0000,0.0000
11832.0000,41.0000,-596.0000,598.0000,-38.9000,0.0000,1.5000,0.0000,0.0000
11917.0000,42.0000,-603.0000,85.0000,-7.0000,0.0000,1.5000,0.0000,0.0000
12281.0000,43.0000,-631.6000,364.0000,-28.6000,0.0000,1.5000,0.0000,0.0000
12752.0000,44.0000,-655.7000,471.0000,-24.1000,0.0000,1.5000,0.0000,0.0000
12886.0000,45.0000,-664.7000,134.0000,-9.0000,0.0000,1.5000,0.0000,0.0000
13270.0000,46.0000,-688.3000,384.0000,-23.6000,0.0000,1.5000,0.0000,0.0000
13465.0000,47.0000,-698.6000,195.0000,-10.3000,0.0000,1.5000,0.0000,0.0000
13588.0000,48.0000,-704.1000,123.0000,-5.5000,0.0000,1.5000,0.0000,0.0000
13850.0000,49.0000,-719.8000,262.0000,-15.7000,0.0000,1.5000,0.0000,0.0000
14643.0000,50.0000,-751.3000,793.0000,-31.5000,0.0000,1.5000,0.0000,0.0000
15037.0000,51.0000,-782.7000,394.0000,-31.4000,0.0000,1.5000,0.0000,0.0000
15321.0000,52.0000,-803.0000,284.0000,-20.3000,0.0000,1.5000,0.0000,0.0000
15412.0000,53.0000,-808.1000,91.0000,-5.1000,0.0000,1.5000,0.0000,0.0000
15629.0000,54.0000,-815.3000,217.0000,-7.2000,0.0000,1.5000,0.0000,0.0000
16393.0000,55.0000,-868.4000,764.0000,-53.1000,0.0000,1.5000,0.0000,0.0000
