steps,episode,total_return,episode_len,episode_return,total_upright,best_episode_reward,mean_greedy_rewards,std_greedy_rewards
1001.0000,0.0000,-42.8000,1001.0000,-42.8000,0.0000,-42.8000,-17.2250,3.6985
2002.0000,1.0000,-75.2000,1001.0000,-32.4000,17.1000,-32.4000,-17.2250,3.6985
2380.0000,2.0000,-106.4000,378.0000,-31.2000,0.0000,-31.2000,-17.2250,3.6985
2700.0000,3.0000,-122.2000,320.0000,-15.8000,0.0000,-15.8000,-17.2250,3.6985
2937.0000,4.0000,-126.0000,237.0000,-3.8000,0.0000,-3.8000,-17.2250,3.6985
3085.0000,5.0000,-137.3000,148.0000,-11.3000,0.0000,-3.8000,-17.2250,3.6985
3181.0000,6.0000,-146.8000,96.0000,-9.5000,0.0000,-3.8000,-17.2250,3.6985
3380.0000,7.0000,-154.9000,199.0000,-8.1000,0.0000,-3.8000,-17.2250,3.6985
3482.0000,8.0000,-158.9000,102.0000,-4.0000,0.0000,-3.8000,-17.2250,3.6985
3601.0000,9.0000,-169.8000,119.0000,-10.9000,0.0000,-3.8000,-17.2250,3.6985
3694.0000,10.0000,-175.5000,93.0000,-5.7000,0.0000,-3.8000,-6.9750,0.0786
3819.0000,11.0000,-181.4000,125.0000,-5.9000,0.0000,-3.8000,-6.9750,0.0786
3905.0000,12.0000,-189.9000,86.0000,-8.5000,0.0000,-3.8000,-6.9750,0.0786
3997.0000,13.0000,-197.1000,92.0000,-7.2000,0.0000,-3.8000,-6.9750,0.0786
4088.0000,14.0000,-204.8000,91.0000,-7.7000,0.0000,-3.8000,-6.9750,0.0786
4194.0000,15.0000,-209.4000,106.0000,-4.6000,0.0000,-3.8000,-6.9750,0.0786
4300.0000,16.0000,-215.1000,106.0000,-5.7000,0.0000,-3.8000,-6.9750,0.0786
4599.0000,17.0000,-211.3000,299.0000,3.8000,22.5000,3.8000,-6.9750,0.0786
4735.0000,18.0000,-220.7000,136.0000,-9.4000,0.0000,3.8000,-6.9750,0.0786
5167.0000,19.0000,-241.0000,432.0000,-20.3000,12.7000,3.8000,-6.9750,0.0786
5402.0000,20.0000,-254.4000,235.0000,-13.4000,0.0000,3.8000,-7.1700,0.2577
5485.0000,21.0000,-262.0000,83.0000,-7.6000,0.0000,3.8000,-7.1700,0.2577
5964.0000,22.0000,-288.8000,479.0000,-26.8000,0.0000,3.8000,-7.1700,0.2577
