steps,episode,total_return,episode_len,episode_return,total_upright,best_episode_reward,mean_greedy_rewards,std_greedy_rewards
207.0000,0.0000,-13.1000,207.0000,-13.1000,0.0000,-13.1000,0.0000,0.0000
903.0000,1.0000,-29.9000,696.0000,-16.8000,15.8000,-13.1000,0.0000,0.0000
1000.0000,2.0000,-37.3000,97.0000,-7.4000,0.0000,-7.4000,0.0000,0.0000
1226.0000,3.0000,-45.0000,226.0000,-7.7000,0.0000,-7.4000,0.0000,0.0000
1507.0000,4.0000,-56.6000,281.0000,-11.6000,0.0000,-7.4000,0.0000,0.0000
1624.0000,5.0000,-66.7000,117.0000,-10.1000,0.0000,-7.4000,0.0000,0.0000
2002.0000,6.0000,-89.8000,378.0000,-23.1000,0.0000,-7.4000,0.0000,0.0000
2140.0000,7.0000,-97.0000,138.0000,-7.2000,0.0000,-7.2000,0.0000,0.0000
2439.0000,8.0000,-102.5000,299.0000,-5.5000,10.2000,-5.5000,0.0000,0.0000
2554.0000,9.0000,-110.5000,115.0000,-8.0000,0.0000,-5.5000,0.0000,0.0000
2669.0000,10.0000,-118.0000,115.0000,-7.5000,0.0000,-5.5000,0.0000,0.0000
2762.0000,11.0000,-125.0000,93.0000,-7.0000,0.0000,-5.5000,0.0000,0.0000
2874.0000,12.0000,-133.9000,112.0000,-8.9000,0.0000,-5.5000,0.0000,0.0000
3003.0000,13.0000,-142.1000,129.0000,-8.2000,0.0000,-5.5000,0.0000,0.0000
3126.0000,14.0000,-149.9000,123.0000,-7.8000,0.0000,-5.5000,0.0000,0.0000
3348.0000,15.0000,-160.4000,222.0000,-10.5000,0.0000,-5.5000,0.0000,0.0000
3515.0000,16.0000,-165.4000,167.0000,-5.0000,0.0000,-5.0000,0.0000,0.0000
3655.0000,17.0000,-173.8000,140.0000,-8.4000,0.0000,-5.0000,0.0000,0.0000
3781.0000,18.0000,-183.4000,126.0000,-9.6000,0.0000,-5.0000,0.0000,0.0000
4195.0000,19.0000,-207.0000,414.0000,-23.6000,0.0000,-5.0000,0.0000,0.0000
4287.0000,20.0000,-214.9000,92.0000,-7.9000,0.0000,-5.0000,0.0000,0.0000
4503.0000,21.0000,-220.6000,216.0000,-5.7000,0.0000,-5.0000,0.0000,0.0000
4666.0000,22.0000,-231.8000,163.0000,-11.2000,0.0000,-5.0000,0.0000,0.0000
4831.0000,23.0000,-234.6000,165.0000,-2.8000,0.0000,-2.8000,0.0000,0.0000
5086.0000,24.0000,-256.2000,255.0000,-21.6000,0.0000,-2.8000,0.0000,0.0000
5452.0000,25.0000,-280.3000,366.0000,-24.1000,0.0000,-2.8000,0.0000,0.0000
6018.0000,26.0000,-294.5000,566.0000,-14.2000,0.0000,-2.8000,0.0000,0.0000
6362.0000,27.0000,-305.8000,344.0000,-11.3000,10.9000,-2.8000,0.0000,0.0000
7363.0000,28.0000,-327.7000,1001.0000,-21.9000,12.4000,-2.8000,0.0000,0.0000
7851.0000,29.0000,-346.5000,488.0000,-18.8000,15.8000,-2.8000,0.0000,0.0000
8102.0000,30.0000,-351.0000,251.0000,-4.5000,0.0000,-2.8000,0.0000,0.0000
8188.0000,31.0000,-359.6000,86.0000,-8.6000,0.0000,-2.8000,0.0000,0.0000
9189.0000,32.0000,-360.2000,1001.0000,-0.6000,52.0000,-0.6000,0.0000,0.0000
9309.0000,33.0000,-366.0000,120.0000,-5.8000,0.0000,-0.6000,0.0000,0.0000
9565.0000,34.0000,-374.9000,256.0000,-8.9000,2.0000,-0.6000,0.0000,0.0000
10081.0000,35.0000,-385.7000,516.0000,-10.8000,11.0000,-0.6000,0.0000,0.0000
