steps,episode,total_return,episode_len,episode_return,total_upright,best_episode_reward,mean_greedy_rewards,std_greedy_rewards
217.0000,0.0000,-16.9000,217.0000,-16.9000,0.0000,-16.9000,0.0000,0.0000
672.0000,1.0000,-32.3000,455.0000,-15.4000,0.0000,-15.4000,0.0000,0.0000
1039.0000,2.0000,-46.8000,367.0000,-14.5000,0.0000,-14.5000,0.0000,0.0000
1124.0000,3.0000,-53.6000,85.0000,-6.8000,0.0000,-6.8000,0.0000,0.0000
1207.0000,4.0000,-61.3000,83.0000,-7.7000,0.0000,-6.8000,0.0000,0.0000
1312.0000,5.0000,-70.5000,105.0000,-9.2000,0.0000,-6.8000,0.0000,0.0000
1462.0000,6.0000,-78.6000,150.0000,-8.1000,0.0000,-6.8000,0.0000,0.0000
1738.0000,7.0000,-87.9000,276.0000,-9.3000,0.0000,-6.8000,0.0000,0.0000
1863.0000,8.0000,-96.7000,125.0000,-8.8000,0.0000,-6.8000,0.0000,0.0000
1980.0000,9.0000,-106.5000,117.0000,-9.8000,0.0000,-6.8000,0.0000,0.0000
2146.0000,10.0000,-112.3000,166.0000,-5.8000,0.0000,-5.8000,-4.3400,3.9633
2228.0000,11.0000,-120.4000,82.0000,-8.1000,0.0000,-5.8000,-4.3400,3.9633
2331.0000,12.0000,-128.4000,103.0000,-8.0000,0.0000,-5.8000,-4.3400,3.9633
2532.0000,13.0000,-136.8000,201.0000,-8.4000,0.0000,-5.8000,-4.3400,3.9633
2686.0000,14.0000,-143.0000,154.0000,-6.2000,0.0000,-5.8000,-4.3400,3.9633
2806.0000,15.0000,-150.6000,120.0000,-7.6000,0.0000,-5.8000,-4.3400,3.9633
2905.0000,16.0000,-157.8000,99.0000,-7.2000,0.0000,-5.8000,-4.3400,3.9633
3031.0000,17.0000,-161.0000,126.0000,-3.2000,0.0000,-3.2000,-4.3400,3.9633
3386.0000,18.0000,-167.8000,355.0000,-6.8000,0.0000,-3.2000,-4.3400,3.9633
3500.0000,19.0000,-173.2000,114.0000,-5.4000,0.0000,-3.2000,-4.3400,3.9633
4222.0000,20.0000,-203.9000,722.0000,-30.7000,0.0000,-3.2000,0.0000,0.0000
4783.0000,21.0000,-222.2000,561.0000,-18.3000,0.0000,-3.2000,0.0000,0.0000
5023.0000,22.0000,-230.4000,240.0000,-8.2000,0.0000,-3.2000,0.0000,0.0000
5500.0000,23.0000,-243.4000,477.0000,-13.0000,0.0000,-3.2000,0.0000,0.0000
5772.0000,24.0000,-254.4000,272.0000,-11.0000,0.0000,-3.2000,0.0000,0.0000
