steps,episode,total_return,episode_len,episode_return,total_upright,best_episode_reward,mean_greedy_rewards,std_greedy_rewards
248.0000,0.0000,-19.2000,248.0000,-19.2000,0.0000,-19.2000,0.0000,0.0000
485.0000,1.0000,-36.4000,237.0000,-17.2000,0.0000,-17.2000,0.0000,0.0000
636.0000,2.0000,-45.4000,151.0000,-9.0000,0.0000,-9.0000,0.0000,0.0000
759.0000,3.0000,-52.6000,123.0000,-7.2000,0.0000,-7.2000,0.0000,0.0000
1002.0000,4.0000,-62.9000,243.0000,-10.3000,0.0000,-7.2000,0.0000,0.0000
1241.0000,5.0000,-70.8000,239.0000,-7.9000,0.0000,-7.2000,0.0000,0.0000
1404.0000,6.0000,-77.3000,163.0000,-6.5000,0.0000,-6.5000,0.0000,0.0000
1635.0000,7.0000,-82.7000,231.0000,-5.4000,0.0000,-5.4000,0.0000,0.0000
1843.0000,8.0000,-86.9000,208.0000,-4.2000,0.0000,-4.2000,0.0000,0.0000
2146.0000,9.0000,-94.2000,303.0000,-7.3000,0.0000,-4.2000,0.0000,0.0000
2372.0000,10.0000,-97.9000,226.0000,-3.7000,0.0000,-3.7000,0.0000,0.0000
2828.0000,11.0000,-106.9000,456.0000,-9.0000,0.0000,-3.7000,0.0000,0.0000
3450.0000,12.0000,-118.5000,622.0000,-11.6000,0.0000,-3.7000,0.0000,0.0000
3705.0000,13.0000,-123.6000,255.0000,-5.1000,0.0000,-3.7000,0.0000,0.0000
4706.0000,14.0000,-133.4000,1001.0000,-9.8000,0.0000,-3.7000,0.0000,0.0000
5408.0000,15.0000,-147.1000,702.0000,-13.7000,0.0000,-3.7000,0.0000,0.0000
6299.0000,16.0000,-162.3000,891.0000,-15.2000,0.0000,-3.7000,0.0000,0.0000
7300.0000,17.0000,-149.8000,1001.0000,12.5000,40.0000,12.5000,0.0000,0.0000
7684.0000,18.0000,-170.2000,384.0000,-20.4000,0.0000,12.5000,0.0000,0.0000
7830.0000,19.0000,-180.0000,146.0000,-9.8000,0.0000,12.5000,0.0000,0.0000
7960.0000,20.0000,-188.7000,130.0000,-8.7000,0.0000,12.5000,0.0000,0.0000
8055.0000,21.0000,-196.0000,95.0000,-7.3000,0.0000,12.5000,0.0000,0.0000
8178.0000,22.0000,-202.9000,123.0000,-6.9000,0.0000,12.5000,0.0000,0.0000
8283.0000,23.0000,-209.8000,105.0000,-6.9000,0.0000,12.5000,0.0000,0.0000
8844.0000,24.0000,-224.8000,561.0000,-15.0000,0.0000,12.5000,0.0000,0.0000
8967.0000,25.0000,-230.8000,123.0000,-6.0000,0.0000,12.5000,0.0000,0.0000
9075.0000,26.0000,-237.7000,108.0000,-6.9000,0.0000,12.5000,0.0000,0.0000
9208.0000,27.0000,-243.6000,133.0000,-5.9000,0.0000,12.5000,0.0000,0.0000
9379.0000,28.0000,-249.9000,171.0000,-6.3000,0.0000,12.5000,0.0000,0.0000
9597.0000,29.0000,-258.2000,218.0000,-8.3000,0.0000,12.5000,0.0000,0.0000
9986.0000,30.0000,-272.9000,389.0000,-14.7000,5.0000,12.5000,0.0000,0.0000
10325.0000,31.0000,-268.5000,339.0000,4.4000,23.0000,12.5000,0.0000,0.0000
10647.0000,32.0000,-256.4000,322.0000,12.1000,27.0000,12.5000,0.0000,0.0000
10984.0000,33.0000,-259.3000,337.0000,-2.9000,13.0000,12.5000,0.0000,0.0000
11293.0000,34.0000,-261.0000,309.0000,-1.7000,13.0000,12.5000,0.0000,0.0000
11634.0000,35.0000,-262.5000,341.0000,-1.5000,14.0000,12.5000,0.0000,0.0000
12479.0000,36.0000,-270.4000,845.0000,-7.9000,28.0000,12.5000,0.0000,0.0000
13480.0000,37.0000,-271.2000,1001.0000,-0.8000,34.8000,12.5000,0.0000,0.0000
14481.0000,38.0000,-247.8000,1001.0000,23.4000,65.9000,23.4000,0.0000,0.0000
15482.0000,39.0000,-201.5000,1001.0000,46.3000,82.9000,46.3000,0.0000,0.0000
16483.0000,40.0000,-193.7000,1001.0000,7.8000,41.9000,46.3000,0.0000,0.0000
17484.0000,41.0000,-180.6000,1001.0000,13.1000,51.0000,46.3000,0.0000,0.0000
18485.0000,42.0000,-122.7000,1001.0000,57.9000,93.9000,57.9000,0.0000,0.0000
19486.0000,43.0000,-106.0000,1001.0000,16.7000,54.9000,57.9000,0.0000,0.0000
20487.0000,44.0000,-88.7000,1001.0000,17.3000,55.0000,57.9000,0.0000,0.0000
21488.0000,45.0000,-89.5000,1001.0000,-0.8000,45.7000,57.9000,0.0000,0.0000
22489.0000,46.0000,-26.8000,1001.0000,62.7000,105.2000,62.7000,0.0000,0.0000
23490.0000,47.0000,104.4000,1001.0000,131.2000,165.6000,131.2000,0.0000,0.0000
24491.0000,48.0000,171.8000,1001.0000,67.4000,107.1000,131.2000,0.0000,0.0000
25342.0000,49.0000,227.2000,851.0000,55.4000,87.7000,131.2000,0.0000,0.0000
26343.0000,50.0000,206.8000,1001.0000,-20.4000,30.0000,131.2000,0.0000,0.0000
27062.0000,51.0000,258.9000,719.0000,52.1000,79.3000,131.2000,0.0000,0.0000
28063.0000,52.0000,434.3000,1001.0000,175.4000,210.1000,175.4000,0.0000,0.0000
