steps,episode,total_return,episode_len,episode_return,total_upright,best_episode_reward,mean_greedy_rewards,std_greedy_rewards
395.0000,0.0000,-26.5000,395.0000,-26.5000,0.0000,-26.5000,0.0000,0.0000
744.0000,1.0000,-51.2000,349.0000,-24.7000,0.0000,-24.7000,0.0000,0.0000
923.0000,2.0000,-59.9000,179.0000,-8.7000,0.0000,-8.7000,0.0000,0.0000
1104.0000,3.0000,-72.3000,181.0000,-12.4000,0.0000,-8.7000,0.0000,0.0000
1770.0000,4.0000,-105.3000,666.0000,-33.0000,0.0000,-8.7000,0.0000,0.0000
1869.0000,5.0000,-112.7000,99.0000,-7.4000,0.0000,-7.4000,0.0000,0.0000
1987.0000,6.0000,-119.9000,118.0000,-7.2000,0.0000,-7.2000,0.0000,0.0000
2109.0000,7.0000,-125.0000,122.0000,-5.1000,0.0000,-5.1000,0.0000,0.0000
2216.0000,8.0000,-132.8000,107.0000,-7.8000,0.0000,-5.1000,0.0000,0.0000
2419.0000,9.0000,-142.0000,203.0000,-9.2000,0.0000,-5.1000,0.0000,0.0000
2561.0000,10.0000,-150.3000,142.0000,-8.3000,0.0000,-5.1000,0.0000,0.0000
3066.0000,11.0000,-171.0000,505.0000,-20.7000,0.0000,-5.1000,0.0000,0.0000
3610.0000,12.0000,-192.8000,544.0000,-21.8000,0.0000,-5.1000,0.0000,0.0000
4242.0000,13.0000,-204.1000,632.0000,-11.3000,12.5000,-5.1000,0.0000,0.0000
4776.0000,14.0000,-219.6000,534.0000,-15.5000,0.0000,-5.1000,0.0000,0.0000
4995.0000,15.0000,-225.2000,219.0000,-5.6000,0.0000,-5.1000,0.0000,0.0000
5326.0000,16.0000,-236.4000,331.0000,-11.2000,0.0000,-5.1000,0.0000,0.0000
5836.0000,17.0000,-219.1000,510.0000,17.3000,32.0000,17.3000,0.0000,0.0000
6558.0000,18.0000,-253.1000,722.0000,-34.0000,0.0000,17.3000,0.0000,0.0000
6812.0000,19.0000,-264.9000,254.0000,-11.8000,0.0000,17.3000,0.0000,0.0000
7383.0000,20.0000,-287.3000,571.0000,-22.4000,0.0000,17.3000,-6.4800,0.1095
8089.0000,21.0000,-303.1000,706.0000,-15.8000,16.2000,17.3000,-6.4800,0.1095
8398.0000,22.0000,-316.9000,309.0000,-13.8000,0.0000,17.3000,-6.4800,0.1095
9399.0000,23.0000,-345.9000,1001.0000,-29.0000,2.8000,17.3000,-6.4800,0.1095
9865.0000,24.0000,-363.1000,466.0000,-17.2000,0.0000,17.3000,-6.4800,0.1095
10363.0000,25.0000,-336.8000,498.0000,26.3000,43.2000,26.3000,-6.4800,0.1095
11074.0000,26.0000,-352.6000,711.0000,-15.8000,20.3000,26.3000,-6.4800,0.1095
11540.0000,27.0000,-353.5000,466.0000,-0.9000,21.6000,26.3000,-6.4800,0.1095
12110.0000,28.0000,-383.7000,570.0000,-30.2000,0.0000,26.3000,-6.4800,0.1095
12596.0000,29.0000,-410.4000,486.0000,-26.7000,0.0000,26.3000,-6.4800,0.1095
12863.0000,30.0000,-425.4000,267.0000,-15.0000,0.0000,26.3000,-10.4600,0.2302
13828.0000,31.0000,-470.7000,965.0000,-45.3000,0.0000,26.3000,-10.4600,0.2302
14829.0000,32.0000,-524.8000,1001.0000,-54.1000,0.0000,26.3000,-10.4600,0.2302
15396.0000,33.0000,-520.6000,567.0000,4.2000,23.4000,26.3000,-10.4600,0.2302
16397.0000,34.0000,-550.9000,1001.0000,-30.3000,11.5000,26.3000,-10.4600,0.2302
17398.0000,35.0000,-564.8000,1001.0000,-13.9000,30.6000,26.3000,-10.4600,0.2302
18102.0000,36.0000,-549.1000,704.0000,15.7000,40.5000,26.3000,-10.4600,0.2302
18924.0000,37.0000,-483.0000,822.0000,66.1000,88.6000,66.1000,-10.4600,0.2302
19925.0000,38.0000,-516.7000,1001.0000,-33.7000,0.0000,66.1000,-10.4600,0.2302
20926.0000,39.0000,-495.5000,1001.0000,21.2000,65.5000,66.1000,-10.4600,0.2302
21746.0000,40.0000,-535.8000,820.0000,-40.3000,0.0000,66.1000,-36.5400,43.1922
22393.0000,41.0000,-557.4000,647.0000,-21.6000,3.8000,66.1000,-36.5400,43.1922
23394.0000,42.0000,-432.2000,1001.0000,125.2000,163.6000,125.2000,-36.5400,43.1922
24395.0000,43.0000,-307.8000,1001.0000,124.4000,165.4000,125.2000,-36.5400,43.1922
25248.0000,44.0000,-300.5000,853.0000,7.3000,53.2000,125.2000,-36.5400,43.1922
26249.0000,45.0000,-344.9000,1001.0000,-44.4000,13.0000,125.2000,-36.5400,43.1922
27250.0000,46.0000,-308.6000,1001.0000,36.3000,85.2000,125.2000,-36.5400,43.1922
27902.0000,47.0000,-292.7000,652.0000,15.9000,40.8000,125.2000,-36.5400,43.1922
28903.0000,48.0000,-315.7000,1001.0000,-23.0000,24.5000,125.2000,-36.5400,43.1922
29364.0000,49.0000,-341.6000,461.0000,-25.9000,0.0000,125.2000,-36.5400,43.1922
29775.0000,50.0000,-362.5000,411.0000,-20.9000,0.0000,125.2000,-2.2600,3.1190
30208.0000,51.0000,-386.2000,433.0000,-23.7000,0.0000,125.2000,-2.2600,3.1190
30603.0000,52.0000,-306.5000,395.0000,79.7000,96.8000,125.2000,-2.2600,3.1190
31604.0000,53.0000,-158.0000,1001.0000,148.5000,193.9000,148.5000,-2.2600,3.1190
32605.0000,54.0000,-207.5000,1001.0000,-49.5000,9.2000,148.5000,-2.2600,3.1190
33606.0000,55.0000,-115.1000,1001.0000,92.4000,152.2000,148.5000,-2.2600,3.1190
34607.0000,56.0000,18.9000,1001.0000,134.0000,182.7000,148.5000,-2.2600,3.1190
35608.0000,57.0000,87.9000,1001.0000,69.0000,124.8000,148.5000,-2.2600,3.1190
36609.0000,58.0000,85.7000,1001.0000,-2.2000,54.0000,148.5000,-2.2600,3.1190
37610.0000,59.0000,147.0000,1001.0000,61.3000,118.0000,148.5000,-2.2600,3.1190
38611.0000,60.0000,256.9000,1001.0000,109.9000,160.1000,148.5000,-5.6600,0.2966
39612.0000,61.0000,360.0000,1001.0000,103.1000,157.0000,148.5000,-5.6600,0.2966
40613.0000,62.0000,320.0000,1001.0000,-40.0000,16.5000,148.5000,-5.6600,0.2966
41614.0000,63.0000,402.6000,1001.0000,82.6000,134.1000,148.5000,-5.6600,0.2966
42615.0000,64.0000,394.7000,1001.0000,-7.9000,40.8000,148.5000,-5.6600,0.2966
43616.0000,65.0000,513.9000,1001.0000,119.2000,171.1000,148.5000,-5.6600,0.2966
44617.0000,66.0000,843.9000,1001.0000,330.0000,367.6000,330.0000,-5.6600,0.2966
