steps,episode,total_return,episode_len,episode_return,total_upright,best_episode_reward,mean_greedy_rewards,std_greedy_rewards
607.0000,0.0000,-42.1000,607.0000,-42.1000,0.0000,-42.1000,0.0000,0.0000
1003.0000,1.0000,-63.7000,396.0000,-21.6000,0.0000,-21.6000,0.0000,0.0000
1315.0000,2.0000,-79.7000,312.0000,-16.0000,0.0000,-16.0000,0.0000,0.0000
2282.0000,3.0000,-122.1000,967.0000,-42.4000,0.0000,-16.0000,0.0000,0.0000
3283.0000,4.0000,-158.5000,1001.0000,-36.4000,0.0000,-16.0000,0.0000,0.0000
3774.0000,5.0000,-174.7000,491.0000,-16.2000,0.0000,-16.0000,0.0000,0.0000
4775.0000,6.0000,-207.0000,1001.0000,-32.3000,0.0000,-16.0000,0.0000,0.0000
5347.0000,7.0000,-221.6000,572.0000,-14.6000,0.0000,-14.6000,0.0000,0.0000
5717.0000,8.0000,-231.4000,370.0000,-9.8000,0.0000,-9.8000,0.0000,0.0000
6263.0000,9.0000,-243.5000,546.0000,-12.1000,0.0000,-9.8000,0.0000,0.0000
6928.0000,10.0000,-258.4000,665.0000,-14.9000,0.0000,-9.8000,0.0000,0.0000
7253.0000,11.0000,-265.2000,325.0000,-6.8000,0.0000,-6.8000,0.0000,0.0000
8215.0000,12.0000,-285.7000,962.0000,-20.5000,0.0000,-6.8000,0.0000,0.0000
8702.0000,13.0000,-294.4000,487.0000,-8.7000,0.0000,-6.8000,0.0000,0.0000
9290.0000,14.0000,-305.4000,588.0000,-11.0000,0.0000,-6.8000,0.0000,0.0000
9812.0000,15.0000,-314.9000,522.0000,-9.5000,0.0000,-6.8000,0.0000,0.0000
10813.0000,16.0000,-330.1000,1001.0000,-15.2000,0.0000,-6.8000,0.0000,0.0000
11786.0000,17.0000,-346.1000,973.0000,-16.0000,0.0000,-6.8000,0.0000,0.0000
12263.0000,18.0000,-353.5000,477.0000,-7.4000,0.0000,-6.8000,0.0000,0.0000
13177.0000,19.0000,-366.1000,914.0000,-12.6000,0.0000,-6.8000,0.0000,0.0000
14178.0000,20.0000,-381.4000,1001.0000,-15.3000,0.0000,-6.8000,0.0000,0.0000
15034.0000,21.0000,-394.3000,856.0000,-12.9000,0.0000,-6.8000,0.0000,0.0000
16035.0000,22.0000,-407.6000,1001.0000,-13.3000,0.0000,-6.8000,0.0000,0.0000
17036.0000,23.0000,-419.2000,1001.0000,-11.6000,0.0000,-6.8000,0.0000,0.0000
17447.0000,24.0000,-424.6000,411.0000,-5.4000,0.0000,-5.4000,0.0000,0.0000
18448.0000,25.0000,-435.1000,1001.0000,-10.5000,0.0000,-5.4000,0.0000,0.0000
19288.0000,26.0000,-444.2000,840.0000,-9.1000,0.0000,-5.4000,0.0000,0.0000
19939.0000,27.0000,-450.9000,651.0000,-6.7000,0.0000,-5.4000,0.0000,0.0000
20940.0000,28.0000,-460.8000,1001.0000,-9.9000,0.0000,-5.4000,0.0000,0.0000
21881.0000,29.0000,-470.2000,941.0000,-9.4000,0.0000,-5.4000,0.0000,0.0000
22882.0000,30.0000,-479.6000,1001.0000,-9.4000,0.0000,-5.4000,0.0000,0.0000
23467.0000,31.0000,-486.1000,585.0000,-6.5000,0.0000,-5.4000,0.0000,0.0000
24244.0000,32.0000,-493.0000,777.0000,-6.9000,0.0000,-5.4000,0.0000,0.0000
25240.0000,33.0000,-501.8000,996.0000,-8.8000,0.0000,-5.4000,0.0000,0.0000
26222.0000,34.0000,-510.9000,982.0000,-9.1000,0.0000,-5.4000,0.0000,0.0000
27223.0000,35.0000,-518.4000,1001.0000,-7.5000,0.0000,-5.4000,0.0000,0.0000
