steps,episode,total_return,episode_len,episode_return,total_upright,best_episode_reward,mean_greedy_rewards,std_greedy_rewards
215.0000,0.0000,-16.0000,215.0000,-16.0000,0.0000,-16.0000,0.0000,0.0000
307.0000,1.0000,-24.8000,92.0000,-8.8000,0.0000,-8.8000,0.0000,0.0000
467.0000,2.0000,-33.2000,160.0000,-8.4000,0.0000,-8.4000,0.0000,0.0000
594.0000,3.0000,-40.6000,127.0000,-7.4000,0.0000,-7.4000,0.0000,0.0000
729.0000,4.0000,-47.9000,135.0000,-7.3000,0.0000,-7.3000,0.0000,0.0000
1423.0000,5.0000,-78.1000,694.0000,-30.2000,0.0000,-7.3000,0.0000,0.0000
1999.0000,6.0000,-96.6000,576.0000,-18.5000,0.0000,-7.3000,0.0000,0.0000
2249.0000,7.0000,-101.7000,250.0000,-5.1000,0.0000,-5.1000,0.0000,0.0000
2362.0000,8.0000,-108.1000,113.0000,-6.4000,0.0000,-5.1000,0.0000,0.0000
2876.0000,9.0000,-122.6000,514.0000,-14.5000,0.0000,-5.1000,0.0000,0.0000
3762.0000,10.0000,-129.6000,886.0000,-7.0000,0.0000,-5.1000,0.0000,0.0000
4724.0000,11.0000,-160.6000,962.0000,-31.0000,0.0000,-5.1000,0.0000,0.0000
4889.0000,12.0000,-168.4000,165.0000,-7.8000,0.0000,-5.1000,0.0000,0.0000
5547.0000,13.0000,-185.0000,658.0000,-16.6000,0.0000,-5.1000,0.0000,0.0000
6548.0000,14.0000,-204.0000,1001.0000,-19.0000,0.0000,-5.1000,0.0000,0.0000
7549.0000,15.0000,-206.5000,1001.0000,-2.5000,0.0000,-2.5000,0.0000,0.0000
8550.0000,16.0000,-222.1000,1001.0000,-15.6000,0.0000,-2.5000,0.0000,0.0000
9551.0000,17.0000,-222.1000,1001.0000,-0.0000,14.4000,-0.0000,0.0000,0.0000
9894.0000,18.0000,-218.8000,343.0000,3.3000,13.5000,3.3000,0.0000,0.0000
10302.0000,19.0000,-234.6000,408.0000,-15.8000,0.0000,3.3000,0.0000,0.0000
10620.0000,20.0000,-247.8000,318.0000,-13.2000,0.0000,3.3000,0.0000,0.0000
10795.0000,21.0000,-250.6000,175.0000,-2.8000,0.0000,3.3000,0.0000,0.0000
11137.0000,22.0000,-269.4000,342.0000,-18.8000,0.0000,3.3000,0.0000,0.0000
11453.0000,23.0000,-284.1000,316.0000,-14.7000,0.0000,3.3000,0.0000,0.0000
11599.0000,24.0000,-289.1000,146.0000,-5.0000,0.0000,3.3000,0.0000,0.0000
11831.0000,25.0000,-298.6000,232.0000,-9.5000,0.0000,3.3000,0.0000,0.0000
12082.0000,26.0000,-313.4000,251.0000,-14.8000,0.0000,3.3000,0.0000,0.0000
12206.0000,27.0000,-317.3000,124.0000,-3.9000,0.0000,3.3000,0.0000,0.0000
12306.0000,28.0000,-322.2000,100.0000,-4.9000,0.0000,3.3000,0.0000,0.0000
12534.0000,29.0000,-335.0000,228.0000,-12.8000,0.0000,3.3000,0.0000,0.0000
12954.0000,30.0000,-351.3000,420.0000,-16.3000,0.0000,3.3000,-6.3400,3.0050
13361.0000,31.0000,-364.8000,407.0000,-13.5000,0.0000,3.3000,-6.3400,3.0050
13822.0000,32.0000,-388.2000,461.0000,-23.4000,0.0000,3.3000,-6.3400,3.0050
14266.0000,33.0000,-389.2000,444.0000,-1.0000,13.8000,3.3000,-6.3400,3.0050
15197.0000,34.0000,-405.5000,931.0000,-16.3000,13.9000,3.3000,-6.3400,3.0050
15487.0000,35.0000,-421.1000,290.0000,-15.6000,0.0000,3.3000,-6.3400,3.0050
15804.0000,36.0000,-435.8000,317.0000,-14.7000,0.0000,3.3000,-6.3400,3.0050
16173.0000,37.0000,-453.3000,369.0000,-17.5000,0.0000,3.3000,-6.3400,3.0050
17106.0000,38.0000,-489.5000,933.0000,-36.2000,0.0000,3.3000,-6.3400,3.0050
17382.0000,39.0000,-503.1000,276.0000,-13.6000,0.0000,3.3000,-6.3400,3.0050
18383.0000,40.0000,-548.1000,1001.0000,-45.0000,0.0000,3.3000,-10.7500,2.9318
18738.0000,41.0000,-566.6000,355.0000,-18.5000,0.0000,3.3000,-10.7500,2.9318
19739.0000,42.0000,-566.6000,1001.0000,0.0000,27.9000,3.3000,-10.7500,2.9318
20740.0000,43.0000,-519.4000,1001.0000,47.2000,73.7000,47.2000,-10.7500,2.9318
21741.0000,44.0000,-519.8000,1001.0000,-0.4000,25.0000,47.2000,-10.7500,2.9318
22276.0000,45.0000,-510.8000,535.0000,9.0000,32.0000,47.2000,-10.7500,2.9318
23188.0000,46.0000,-551.7000,912.0000,-40.9000,0.0000,47.2000,-10.7500,2.9318
23949.0000,47.0000,-563.8000,761.0000,-12.1000,14.9000,47.2000,-10.7500,2.9318
24950.0000,48.0000,-548.7000,1001.0000,15.1000,41.9000,47.2000,-10.7500,2.9318
25659.0000,49.0000,-505.7000,709.0000,43.0000,70.0000,47.2000,-10.7500,2.9318
25996.0000,50.0000,-495.9000,337.0000,9.8000,20.5000,47.2000,57.5450,73.9526
26318.0000,51.0000,-480.0000,322.0000,15.9000,25.3000,47.2000,57.5450,73.9526
27319.0000,52.0000,-351.5000,1001.0000,128.5000,158.5000,128.5000,57.5450,73.9526
27792.0000,53.0000,-349.9000,473.0000,1.6000,19.0000,128.5000,57.5450,73.9526
28294.0000,54.0000,-346.5000,502.0000,3.4000,18.1000,128.5000,57.5450,73.9526
28864.0000,55.0000,-359.8000,570.0000,-13.3000,17.2000,128.5000,57.5450,73.9526
29284.0000,56.0000,-379.1000,420.0000,-19.3000,0.0000,128.5000,57.5450,73.9526
30285.0000,57.0000,-384.8000,1001.0000,-5.7000,29.7000,128.5000,57.5450,73.9526
30577.0000,58.0000,-407.3000,292.0000,-22.5000,0.0000,128.5000,57.5450,73.9526
31578.0000,59.0000,-386.4000,1001.0000,20.9000,61.8000,128.5000,57.5450,73.9526
32186.0000,60.0000,-291.4000,608.0000,95.0000,117.0000,128.5000,77.2300,37.9088
33187.0000,61.0000,-163.0000,1001.0000,128.4000,167.8000,128.5000,77.2300,37.9088
33598.0000,62.0000,-122.5000,411.0000,40.5000,55.1000,128.5000,77.2300,37.9088
34599.0000,63.0000,-92.4000,1001.0000,30.1000,67.5000,128.5000,77.2300,37.9088
34997.0000,64.0000,-62.2000,398.0000,30.2000,49.5000,128.5000,77.2300,37.9088
35673.0000,65.0000,8.8000,676.0000,71.0000,101.1000,128.5000,77.2300,37.9088
36674.0000,66.0000,30.2000,1001.0000,21.4000,81.5000,128.5000,77.2300,37.9088
37441.0000,67.0000,158.1000,767.0000,127.9000,153.3000,128.5000,77.2300,37.9088
37695.0000,68.0000,202.9000,254.0000,44.8000,56.0000,128.5000,77.2300,37.9088
38221.0000,69.0000,273.8000,526.0000,70.9000,92.7000,128.5000,77.2300,37.9088
39222.0000,70.0000,405.9000,1001.0000,132.1000,190.6000,132.1000,63.8750,34.4669
40223.0000,71.0000,493.2000,1001.0000,87.3000,129.7000,132.1000,63.8750,34.4669
41224.0000,72.0000,592.0000,1001.0000,98.8000,153.8000,132.1000,63.8750,34.4669
41497.0000,73.0000,670.0000,273.0000,78.0000,88.3000,132.1000,63.8750,34.4669
41866.0000,74.0000,780.0000,369.0000,110.0000,124.0000,132.1000,63.8750,34.4669
42088.0000,75.0000,819.6000,222.0000,39.6000,52.1000,132.1000,63.8750,34.4669
43089.0000,76.0000,910.9000,1001.0000,91.3000,143.9000,132.1000,63.8750,34.4669
43318.0000,77.0000,934.3000,229.0000,23.4000,39.6000,132.1000,63.8750,34.4669
43535.0000,78.0000,973.7000,217.0000,39.4000,52.3000,132.1000,63.8750,34.4669
43806.0000,79.0000,1040.3000,271.0000,66.6000,80.8000,132.1000,63.8750,34.4669
