steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
10,1,-0.007,10,-0.007,1,0.0
20,2,-0.013000000000000005,10,-0.006,2,0.0
30,3,-0.01900000000000001,10,-0.006,3,0.0
40,4,-0.023000000000000013,10,-0.004,4,0.0
50,5,-0.02900000000000002,10,-0.006,5,0.0
60,6,-0.03400000000000002,10,-0.005,6,0.0
70,7,-0.03900000000000003,10,-0.005,7,0.0
80,8,-0.046000000000000034,10,-0.007,8,0.0
90,9,-0.04900000000000004,10,-0.003,9,0.0
100,10,-0.05300000000000004,10,-0.004,10,0.0
120,12,-0.06500000000000004,10,-0.005,12,0.0
140,14,-0.07400000000000005,10,-0.005,14,0.0
170,17,-0.09300000000000007,10,-0.006,17,0.0
200,20,-0.11100000000000008,10,-0.006,20,0.0
250,25,-0.1440000000000001,10,-0.007,25,0.0
300,30,-0.18100000000000013,10,-0.009000000000000001,30,0.0
400,40,0.7439999999999998,10,-0.006,39,1.0
500,50,0.6859999999999997,10,-0.005,49,1.0
600,60,0.6259999999999997,10,-0.008,59,1.0
700,70,0.5619999999999996,10,-0.005,69,1.0
800,80,3.4790000000000036,10,-0.008,76,4.0
900,90,4.39599999999998,10,-0.007,85,5.0
1000,100,4.313999999999953,10,-0.008,95,5.0
1200,120,6.149999999999898,10,-0.009000000000000001,113,7.0
1400,140,5.9979999999998475,10,-0.009000000000000001,133,7.0
1700,170,6.819999999999788,10,-0.007,162,8.0
2000,200,7.5849999999997095,10,-0.009000000000000001,191,9.0
2500,250,9.224999999999863,10,-0.003,239,11.0
3000,300,8.910000000000037,10,-0.004,289,11.0
4000,400,11.163000000000451,10,-0.009000000000000001,386,14.0
5000,500,13.51500000000081,10,-0.008,483,17.0
6000,600,12.787000000001214,10,-0.006,583,17.0
7000,700,18.963000000000665,10,-0.007,676,24.0
8000,800,20.13099999999965,10,-0.008,774,26.0
9000,900,21.372999999998722,10,-0.008,872,28.0
10000,1000,21.599999999997777,10,-0.006,971,29.0
12000,1200,26.133999999995986,10,-0.009000000000000001,1165,35.0
14000,1400,36.573999999997135,10,-0.009000000000000001,1353,47.0
17000,1700,45.28000000000248,10,-0.008,1642,58.0
20000,2000,49.93900000000794,10,-0.007,1935,65.0
25000,2500,61.96900000001719,10,-0.006,2419,81.0
30000,3000,71.14300000000377,10,-0.008,2906,94.0
40000,4000,93.29099999996627,10,-0.009000000000000001,3876,124.0
50000,5000,116.29899999992811,10,-0.009000000000000001,4845,155.0
60000,6000,149.23399999988962,10,-0.009000000000000001,5804,196.0
70000,7000,176.30499999985176,10,-0.008,6769,231.0
80000,8000,204.30499999981356,10,-0.008,7733,267.0
90000,9000,237.18299999977478,10,-0.009000000000000001,8692,308.0
100000,10000,265.9829999998283,10,-0.007,9655,345.0
